Cueanexo,Nombre,id_departamento,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario
20027600,INSTITUTO AMANECER,2000,1.0,1.0,1.0,1.0
20027800,JIN C DE 21 (ESC. PRIM. Nº 14 DE 21),2000,,1.0,,
20027804,JIN C DE 21 (ESC. PRIM. N° 13 DE 21),2000,,1.0,,
20027900,ARMADA ARGENTINA,2000,,,1.0,
20028100,MARIA ELENA WALSH,2000,,,1.0,
20028300,IFTS N° 13 DE 08,2000,,,,
20028400,GRAL. MANUEL BELGRANO,2000,,,,
20028500,ESC. EDUC. MEDIA Nº 05 JUAN MANUEL FANGIO DE 21,2000,,,,1.0
20028600,ESC. DE EDUC. MEDIA Nº 04 DE 21 NORMA COLOMBATTO,2000,,,,1.0
20028700,INSTITUTO EUSKAL-ECHEA,2000,1.0,1.0,1.0,1.0
20028900,FRANCISCO NARCISO LAPRIDA,2000,,,1.0,
20029000,JIN B DE 03 (ESC. PRIM. N° 23 DE 3),2000,,1.0,,
20029001,JIN B DE 03 (ESC. PRIM. Nº 9 DE 3),2000,,1.0,,
20029002,JIN B DE 03 (ESC. PRIM. N° 15 DE 3),2000,,1.0,,
20029300,INSTITUTO NUESTRA SEÑORA DEL PILAR,2000,,1.0,1.0,1.0
20029400,JIN B EL JARDIN DEL ABASTO DE 02 (N°8),2000,,1.0,,
20029401,JIN B JARDIN DEL ABASTO DE 02 (N°24),2000,,1.0,,
20029500,INST.MERCEDES PACHECO,2000,,1.0,1.0,1.0
20029600,FRAY MAMERTO ESQUIU,2000,,,1.0,
20029700,CARLOS N. VERGARA,2000,,,1.0,
20029800,PROVINCIA DE FORMOSA,2000,,,1.0,
20029900,INSTITUTO POLITECNICO MODELO,2000,,,,1.0
20030100,CENS Nº 35 DE 07,2000,,,,
20030101,CENS Nº 35 DE 19,2000,,,,
20030200,CNEL CARLOS TOMAS SOURIGUES,2000,,,1.0,
20030300,INSTITUTO SAN ROBERTO,2000,,1.0,1.0,
20030400,ADA MARIA ELFLEIN,2000,,,1.0,
20030500,INSTITUTO ESCUELA DE LA NUEVA EXPRESION,2000,,,1.0,
20030700,INSTITUTO BETANIA,2000,1.0,1.0,1.0,1.0
20030900,JIN D DE 03 (ESC. PRIM. N° 04 DE 03),2000,,1.0,,
20030902,JIN D DE 03 (ESC. PRIM. N° 03 DE 03),2000,,1.0,,
20031000,CENS Nº 12 DE 03,2000,,,,
20031100,MARIA SANCHEZ DE THOMPSON,2000,,,1.0,
20031200,ESCUELA INTEGRAL INTERDISCIPLINARIA Nº 01 DE 15,2000,,,,
20031700,COLEGIO AULA XXI,2000,,,,1.0
20031900,JOSE CLEMENTE PAZ,2000,,,1.0,
20032000,CENS Nº 40 DE 02,2000,,,,
20032100,SABINA BOVE DE BOZZALLA,2000,,,,
20032200,REPUBLICA DE CHILE,2000,,,,
20032300,CENS Nº 39 DE 04,2000,,,,
20032400,JORGE ANGEL BOERO,2000,,,1.0,
20032500,DOMINGUITO,2000,,,1.0,
20032600,INSTITUTO EDUCATIVO CREAR,2000,,,,
20032800,ISLAS MALVINAS,2000,,,1.0,
20032900,INTENDENTE ALVEAR,2000,,,1.0,
20033000,VICENTE LOPEZ Y PLANES,2000,,,1.0,
20033100,INSTITUTO LEOPOLDO MARECHAL,2000,1.0,1.0,,
20033101,INSTITUTO LEOPOLDO MARECHAL,2000,,,1.0,
20033300,PRIMERA MINISTRO INDIRA GANDHI,2000,,,1.0,
20033400,ESCUELA PARROQUIAL SANTA ELISA,2000,,1.0,1.0,
20033500,INSTITUTO AMBROSIO TOGNONI,2000,1.0,1.0,1.0,
20033600,JIN C DE 09 (ESC. PRIM. N° 20 DE 09),2000,,1.0,,
20033601,JIN C DE 09 (ESC. PRIM. N° 23 DE 09),2000,,1.0,,
20033602,JIN C DE 09 (ESC. PRIM. N° 01 DE 09),2000,,1.0,,
20033700,"ESC. PARA NIÑOS, NIÑAS Y JOVENES CON PLURIDISCAPACIDAD Nº 26 DR. JORGE GARBER DE 09",2000,,,,
20034100,IRLANDA,2000,,,1.0,
20034200,JIC Nº 01 PABLO NERUDA DE 17,2000,1.0,1.0,,
20034400,JIN C DE 11 HERMINIA BRUMANA (ESC.PRIM.N°10DE11),2000,1.0,1.0,,
20034401,JIN C DE 11 HERMINIA BRUMANA (ESC.PRIM.N°09DE11),2000,,1.0,,
20034402,JIN C DE 11 HERMINIA BRUMANA (ESC.PRIM.N°08DE11),2000,1.0,1.0,,
20034500,"ESC. PARA NIÑOS,NIÑAS, JOVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y FORMACIÓN INTEGRAL Nº 1 ALFONSINA STORNI DE 08",2000,,,,
20034700,PABLO A. PIZZURNO,2000,,,,
20034800,EJERCITO DE LOS ANDES,2000,,,,
20034900,BELISARIO ROLDAN,2000,,,1.0,
20035000,ESC. DE EDUC. MEDIA Nº 01 RODOLFO WALSH DE 16,2000,,,,1.0
20035100,GRAL MAXIMO DE ZAMUDIO,2000,,,1.0,
20035200,ENRIQUE DE VEDIA,2000,,,1.0,
20035300,EI Nº 02 DE 14 (HOSP. TORNU),2000,1.0,1.0,,
20035400,INSTITUTO SAN MIGUEL,2000,1.0,1.0,1.0,1.0
20035500,ESCUELA ARCO IRIS,2000,1.0,1.0,1.0,
20035600,INSTITUTO DE ESTUDIOS SUPERIORES DE BUENOS AIRES,2000,,,,
20035800,CAP. DE FRAGATA CARLOS MARIA MOYANO,2000,,,1.0,
20036100,INSTITUTO DE TIEMPO LIBRE Y RECREACION,2000,,,,
20036200,PONCIANO VIVANCO,2000,,,1.0,
20036300,REPUBLICA DE NICARAGUA,2000,,,1.0,
20036400,ESC. DE COM. Nº 16 GABRIELA MISTRAL DE 07,2000,,,,1.0
20036500,CENS Nº 57 DE 07,2000,,,,
20036600,ESCUELA SUPERIOR DE ENFERMERIA CECILIA GRIERSON,2000,,,,
20036601,ESCUELA SUPERIOR DE ENFERMERIA CECILIA GRIERSON,2000,,,,
20036800,ESCUELA DEL PARQUE,2000,1.0,1.0,1.0,
20037000,ESCUELA DEL SIGLO NUEVO,2000,,,1.0,
20037100,ESTEBAN DE LUCA,2000,,,,
20037200,IFTS Nº 16 DE 14,2000,,,,
20037300,CENS Nº 16 DE 02,2000,,,,
20037400,CENS Nº 70 DE 06,2000,,,,
20037500,CENS Nº 01 DE 02,2000,,,,
20037600,FLORENCIO BALCARCE,2000,,,,
20037900,JIC Nº 03 LA PORTENA DE 07,2000,1.0,1.0,,
20038000,TOMAS SANTA COLOMA,2000,,,1.0,
20038100,JIC N° 02 DE 13,2000,1.0,1.0,,
20038200,JIC N° 03 DE 08,2000,,1.0,,
20038300,COLEGIO Nº 16 GUILLERMO RAWSON DE 15,2000,,,,1.0
20038400,REPUBLICA DE TURQUIA,2000,,,,
20038500,CENS Nº 53 DE 10,2000,,,,
20038600,PROVINCIA DE JUJUY,2000,,,1.0,
20038700,INSTITUTO SANTA MARIA DE LOS ANGELES,2000,1.0,1.0,1.0,1.0
20038800,REPUBLICA DE COLOMBIA,2000,,,,
20038900,MARTHA SALOTTI (INST.FELIX F. BERNASCONI),2000,,,,
20039000,ESC. DE COM. Nº 26 ENRIQUE DE VEDIA DE 01,2000,,,,
20039100,DR. RAFAEL HERRERA VEGAS,2000,,,,
20039200,CENS Nº 41 DE 01,2000,,,,
20039300,ONESIMO LEGUIZAMON,2000,,,,
20039400,CENS Nº 24 DE 01,2000,,,,
20039800,ESCUELA INTEGRAL MAIMONIDES,2000,1.0,1.0,,
20039801,ESCUELA INTEGRAL MAIMONIDES,2000,,,1.0,
20039900,QUINTINO BOCAYUVA,2000,,,1.0,
20040000,MUSEO DE BELLAS ARTES GRAL URQUIZA,2000,,,1.0,
20040100,LICEO Nº 09 SANTIAGO DERQUI DE 10,2000,,,,1.0
20040200,INSTITUTO BENITO NAZAR,2000,,1.0,1.0,1.0
20040300,ESCUELA PARA EL HOMBRE NUEVO,2000,1.0,1.0,1.0,1.0
20040400,ROSARIO VERA PEÑALOZA,2000,,,1.0,
20040500,ESCUELA INTEGRAL INTERDISCIPLINARIA Nº 02 DE 02,2000,,,,
20040700,INSTITUTO ARCANGEL SAN MIGUEL,2000,1.0,1.0,1.0,1.0
20040800,INSTITUTO INFANCIAS,2000,,,,
20040801,INSTITUTO INFANCIAS,2000,,,,
20040900,ESCUELA INTEGRAL INTERDISCIPLINARIA Nº 20 ALICIA MOREAU DE JUSTO DE 20,2000,,,,
20041000,GERVASIO POSADAS,2000,,,1.0,
20041100,INSTITUTO SAN ANTONIO DE PADUA,2000,,1.0,1.0,1.0
20041200,INSTITUTO DON ORIONE,2000,,1.0,1.0,
20041300,ERNESTO A. BAVIO,2000,,,1.0,
20041400,ESC. DE EDUC. MEDIA Nº 05 HEROES DE MALVINAS DE 10,2000,,,,1.0
20041500,INSTITUTO INCORPORADO PATROCINIO DE SAN JOSE,2000,1.0,1.0,1.0,1.0
20041600,ESCUELA INTEGRAL INTERDISCIPLINARIA Nº 10 ALFEREZ DE NAVIO J.SOBRAL DE 10,2000,,,,
20041700,PADRE CASTAÑEDA,2000,,,1.0,
20041800,DR ADOLFO SALDIAS,2000,,,1.0,
20041900,FLORENCIO VARELA,2000,,,1.0,
20042000,INSTITUTO CASA DE JESUS,2000,,1.0,1.0,1.0
20042100,ESTEBAN ECHEVERRIA,2000,,,1.0,
