Provincia,Departamento,Cant_EE,Cant_BP,Poblacion
Santa Cruz,DESEADO,113,7,349174
Jujuy,SAN PEDRO,113,6,245426
Buenos Aires,MERCEDES,113,1,198371
Mendoza,GENERAL ALVEAR,111,4,146031
Santa Fe,SAN JUSTO,109,6,130052
Santiago del Estero,ROBLES,109,4,148482
Formosa,RAMON LISTA,109,0,47217
Santiago del Estero,AVELLANEDA,108,3,69628
San Juan,RAWSON,107,8,378735
Chaco,MAYOR LUIS J FONTANA,105,3,165922
Santiago del Estero,GENERAL TABOADA,105,3,127476
Buenos Aires,TRENQUE LAUQUEN,105,2,137616
Buenos Aires,CHIVILCOY,105,1,198002
Corrientes,CURUZU CUATIA,104,2,142988
Buenos Aires,25 DE MAYO,104,1,99262
Buenos Aires,GENERAL RODRIGUEZ,104,1,390277
Tucumán,MONTEROS,103,5,215217
Entre Ríos,TALA,102,2,86709
Chaco,QUITILIPI,101,3,89932
San Luis,AYACUCHO,100,3,65718
Santa Fe,CASEROS,99,10,243381
Buenos Aires,CAÑUELAS,99,2,194591
Buenos Aires,TRES ARROYOS,98,10,173883
Buenos Aires,SAN PEDRO,98,2,189663
Catamarca,LA PAZ,98,2,73033
Santiago del Estero,JIMENEZ,96,1,51435
Río Negro,ADOLFO ALSINA,95,5,178365
Buenos Aires,9 DE JULIO,93,2,146269
Santiago del Estero,JUAN F IBARRA,93,1,56112
Chaco,MAIPU,93,0,72818
San Luis,JUNIN,92,7,112639
Buenos Aires,CORONEL SUAREZ,92,3,117184
Buenos Aires,LINCOLN,91,7,126819
San Juan,JACHAL,91,1,70628
Tucumán,YERBA BUENA,91,1,285871
Corrientes,LAVALLE,90,1,111289
Corrientes,MERCEDES,89,5,138619
Buenos Aires,CHACABUCO,89,2,147072
Buenos Aires,BALCARCE,89,1,136210
Tucumán,LULES,89,0,257747
Mendoza,SAN CARLOS,88,5,110129
Catamarca,SANTA MARIA,88,2,74849
Tucumán,RIO CHICO,88,2,180558
Catamarca,TINOGASTA,88,1,70294
San Juan,RIVADAVIA,87,8,282700
Misiones,MONTECARLO,87,4,106289
Córdoba,ISCHILIN,87,2,100051
Misiones,APOSTOLES,87,1,139273
Santiago del Estero,SALAVINA,87,0,34925
Mendoza,RIVADAVIA,86,2,177048
Salta,SANTA VICTORIA,86,1,25579
Chubut,FUTALEUFU,85,2,139537
Corrientes,BELLA VISTA,85,1,123160
Mendoza,TUNUYAN,84,3,165930
Buenos Aires,SAN VICENTE,84,2,268803
Jujuy,HUMAHUACA,84,2,57373
Corrientes,SAN LUIS DEL PALMAR,84,1,59622
Chubut,BIEDMA,83,7,285767
La Rioja,CHILECITO,83,3,162603
Santa Fe,SAN JAVIER,83,3,92525
Santiago del Estero,OJO DE AGUA,83,2,41677
Buenos Aires,BOLIVAR,82,4,104519
Buenos Aires,PEHUAJO,82,4,124671
Santiago del Estero,QUEBRACHOS,82,1,34099
Santiago del Estero,SAN MARTIN,82,0,30467
Corrientes,MONTE CASEROS,81,7,126886
Tierra del Fuego,RIO GRANDE,81,7,
Jujuy,YAVI,81,2,71448
Tierra del Fuego,USHUAIA,81,2,
Buenos Aires,CHASCOMUS,81,0,117374
Chaco,9 DE JULIO,80,4,84044
Córdoba,PRESIDENTE ROQUE SAENZ PEÑA,80,3,104997
Mendoza,JUNIN,80,3,129798
Formosa,PILAGAS,80,0,52619
La Rioja,ROSARIO VERA PEÑALOZA,80,0,43776
Buenos Aires,BERISSO,79,7,280554
Buenos Aires,GENERAL VILLEGAS,79,5,97731
Buenos Aires,LOBOS,79,4,115551
Corrientes,PASO DE LOS LIBRES,79,3,156478
Jujuy,LEDESMA,78,4,261380
Misiones,SAN JAVIER,78,2,63476
Buenos Aires,SALADILLO,78,1,99145
Salta,ROSARIO DE LERMA,78,1,141071
Tucumán,GRANEROS,78,1,43124
Córdoba,TULUMBA,77,1,39560
Corrientes,ITUZAINGO,76,1,107350
La Pampa,MARACO,75,6,193234
Buenos Aires,LA COSTA,74,6,279764
Córdoba,GENERAL ROCA,74,5,101026
Buenos Aires,BARADERO,74,3,109479
Corrientes,GENERAL PAZ,74,3,47496
Buenos Aires,SAN ANDRES DE GILES,73,1,73583
Córdoba,RIO SECO,73,1,42316
Chubut,CUSHAMEN,72,7,78371
Chaco,25 DE MAYO,72,1,89487
San Luis,LIBERTADOR GRL SAN MARTIN,72,1,13184
Chaco,CHACABUCO,71,3,96171
Salta,ROSARIO DE LA FRONTERA,71,2,93802
Corrientes,EMPEDRADO,71,1,50008
Córdoba,TOTORAL,71,0,62532
